Idn (PM0.l=3e-07) X,Idn (PM0.l=3e-07) Y
0,7.681293517913801e-10
0.024,1.726200877616943e-09
0.048,3.839063047785782e-09
0.07200000000000001,8.411440024231883e-09
0.096,1.807030316186737e-08
0.12,3.78814928408724e-08
0.144,7.718978777880223e-08
0.168,1.525353629295756e-07
0.192,2.919865722518307e-07
0.216,5.40383858974304e-07
0.24,9.626255904119248e-07
0.264,1.640002612348384e-06
0.288,2.656934720105952e-06
0.312,4.082506346229202e-06
0.336,5.955721936796572e-06
0.36,8.279937719226729e-06
0.3840000000000001,1.102497952864974e-05
0.4080000000000001,1.413292458458008e-05
0.4320000000000001,1.752661939519782e-05
0.4560000000000001,2.112223276929537e-05
0.4800000000000001,2.484317728010462e-05
0.5040000000000001,2.86289402424464e-05
0.5280000000000001,3.243630776358247e-05
0.5520000000000002,3.62360317339962e-05
0.5760000000000002,4.000863146453568e-05
0.6000000000000002,4.37410309218525e-05
0.6240000000000002,4.742427657285493e-05
0.6480000000000002,5.105208894428448e-05
0.6720000000000003,5.461996269229619e-05
0.6960000000000003,5.812460638450178e-05
0.7200000000000003,6.156358859990393e-05
0.7440000000000003,6.493510929793998e-05
0.7680000000000003,6.823784799523144e-05
0.7920000000000004,7.147085978572686e-05
0.8160000000000004,7.463350176393341e-05
0.8400000000000004,7.772537922371189e-05
0.8640000000000004,8.074630505787879e-05
0.8880000000000005,8.36962682179103e-05
0.9120000000000005,8.657540857236536e-05
0.9360000000000005,8.938399641430715e-05
0.9600000000000005,9.212241543893602e-05
0.9840000000000005,9.479114837678863e-05
1.008,9.739076470492442e-05
1.032,9.992191001636099e-05
1.056,0.0001023852967356292
1.080000000000001,0.0001047816959434848
1.104000000000001,0.0001071119301275659
1.128000000000001,0.0001093768667150944
1.152000000000001,0.0001115774122730393
1.176000000000001,0.0001137145072834235
1.2,0.0001157891214186089
